RecordedDate,Q2.12,Q2.15,Q2.14,Q2.4,Q2.6,Q2.2,Q2.1,Q35.1,Q35.2,Q35.4,Q37.4,Q37.3,Q38.3,Q38.6,Q38.10,Q2.13
2021-04-07 22:50:47,Employed part time,Democrat,Some college,Hispanic or Latino,United States of America,Cisgender Woman,1995,,,,,,,,,"$50,000 - $59,999"
2021-04-07 22:51:22,Unemployed looking for work,Democrat,Some college,Asian,United States of America,Cisgender Woman,2001,Somewhat agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 22:52:10,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2001,Strongly disagree,No,No,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Probably yes,Somewhat agree,"Less than $10,000"
2021-04-07 22:53:59,Employed part time,Democrat,No college,Asian,United States of America,Cisgender Woman,2000,Neither agree nor disagree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 22:56:14,Student,Independent,Some college,Non-Hispanic White,United States of America,Cisgender Woman,1999,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 23:02:20,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,1999,Strongly disagree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 23:02:31,Employed full time,Independent,"Advanced degree (Master's, Doctorate)",Non-Hispanic White,United States of America,Cisgender Man,1979,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Probably yes,Strongly agree,"More than $150,000"
2021-04-07 23:05:44,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2000,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 23:10:23,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,1999,Somewhat disagree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 23:13:26,,,,,,,,,,,,,,,,
2021-04-07 23:18:27,Employed part time,Independent,No college,Asian,India,Cisgender Woman,2002,Strongly disagree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 23:24:29,Student,Other,No college,Non-Hispanic White,United States of America,Cisgender Woman,2000,Somewhat agree,Yes,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"$20,000 - $29,999"
2021-04-07 23:24:59,,,,Non-Hispanic White,United States of America,Cisgender Man,1991,,,,,,,,,
2021-04-07 23:32:18,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2000,Somewhat agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 23:38:43,Employed part time,Independent,No college,Black or African American,United States of America,Cisgender Woman,1986,,,,,,,,,
2021-04-07 23:43:11,Student,Democrat,Some college,Non-Hispanic White,United States of America,Cisgender Man,2001,Somewhat disagree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 23:44:07,Student,Socialist,Some college,Hispanic or Latino,United States of America,Cisgender Woman,1996,Strongly agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-07 23:51:45,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,1998,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-07 23:52:45,Student,Prefer not to say,No college,Asian,United States of America,Cisgender Woman,2000,Somewhat disagree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-07 23:56:04,Employed part time,Democrat,Bachelor's degree,Asian,United States of America,Cisgender Woman,1999,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-08 00:00:45,Student,Prefer not to say,No college,Asian,United States of America,Cisgender Woman,2001,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-08 00:14:20,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2000,Strongly agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-08 00:16:35,Employed full time,Republican,Bachelor's degree,Black or African American,United States of America,Cisgender Man,1971,,,,,,,,,"$80,000 - $89,999"
2021-04-08 00:25:20,Employed part time,Democrat,Bachelor's degree,Black or African American,United States of America,Cisgender Woman,2000,Somewhat agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-08 00:27:37,Student,Independent,No college,Asian,United States of America,Cisgender Man,2001,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly disagree,Definitely yes,Strongly disagree,
2021-04-08 00:31:39,Student,Other,No college,Black or African American,United States of America,Non-binary,1998,Somewhat agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-08 00:43:05,Employed part time,Democrat,Bachelor's degree,Non-Hispanic White,United States of America,Cisgender Woman,1999,Somewhat agree,Yes,Yes,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-08 00:49:01,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2002,Neither agree nor disagree,No,No,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-08 01:31:42,Student,Other,Bachelor's degree,Asian,United States of America,Cisgender Woman,1999,Somewhat agree,No,No,,,Somewhat agree,Probably yes,Somewhat agree,"Less than $10,000"
2021-04-08 01:41:29,Student,Democrat,No college,Asian,United States of America,Cisgender Woman,2000,Strongly agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-08 02:32:31,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,1998,Somewhat agree,Yes,Yes,,,Somewhat agree,Probably yes,Somewhat agree,"Less than $10,000"
2021-04-08 03:12:14,Employed full time,Republican,Bachelor's degree,Hispanic or Latino,United States of America,Cisgender Man,1968,,,,,,,,,"$50,000 - $59,999"
2021-04-08 03:19:33,Student,Prefer not to say,Some college,Asian,,Cisgender Man,1997,Strongly agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-08 03:34:51,Student,Democrat,No college,Non-Hispanic White,Italy,Cisgender Man,2001,,,,,,,,,"Less than $10,000"
2021-04-08 05:38:51,,,,,,Cisgender Man,1996,,,,,,,,,
2021-04-08 05:50:52,,,,Other:,United Kingdom of Great Britain and Northern Ireland,Other,Croatia,,,,,,,,,
2021-04-08 05:59:58,Employed part time,Republican,Bachelor's degree,Hispanic or Latino,Argentina,Cisgender Man,1989,,,,,,,,,"$20,000 - $29,999"
2021-04-08 06:16:01,Employed part time,Democrat,Some college,Non-Hispanic White,Italy,Cisgender Man,1996,,,,,,,,,"$90,000 - $99,999"
2021-04-08 07:24:49,Employed full time,Republican,Bachelor's degree,Black or African American,United States of America,Cisgender Man,1984,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Somewhat agree,"$40,000 - $49,999"
2021-04-08 07:32:29,Unemployed looking for work,Republican,No college,Non-Hispanic White,United States of America,Cisgender Man,26,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Somewhat disagree,Definitely yes,Neither agree nor disagree,"Less than $10,000"
2021-04-08 08:20:22,Unemployed looking for work,Independent,Bachelor's degree,Hispanic or Latino,United States of America,Cisgender Woman,2020,Strongly agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-08 08:40:26,Student,Democrat,No college,Asian,United States of America,Cisgender Man,1999,Strongly agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-08 10:38:36,Student,Democrat,No college,Non-Hispanic White,United States of America,Cisgender Woman,2001,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-08 11:02:35,Student,Other,No college,Non-Hispanic White,United States of America,Non-binary,2000,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-08 11:16:31,Student,Democrat,Bachelor's degree,Other:,United States of America,Cisgender Woman,1996,Somewhat disagree,No,Yes,,,Strongly agree,Definitely yes,Somewhat agree,
2021-04-08 11:45:23,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,1999,Strongly agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-08 11:46:32,Student,Democrat,Bachelor's degree,Asian,United States of America,Cisgender Woman,1994,Somewhat agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"$80,000 - $89,999"
2021-04-08 11:56:29,Employed full time,Democrat,Bachelor's degree,Non-Hispanic White,United States of America,Cisgender Man,1992,Neither agree nor disagree,No,No,,,Somewhat disagree,Definitely yes,Strongly disagree,"$30,000 - $39,999"
2021-04-08 13:29:49,Student,Democrat,"Advanced degree (Master's, Doctorate)",Non-Hispanic White,United States of America,Cisgender Woman,1992,Neither agree nor disagree,No,Yes,,,Somewhat agree,Definitely yes,Somewhat agree,"$20,000 - $29,999"
2021-04-08 13:38:29,Student,Other,No college,Asian,New Zealand,Cisgender Woman,2000,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-08 13:56:40,Student,Prefer not to say,Bachelor's degree,Asian,United States of America,Cisgender Woman,1999,Strongly agree,Yes,No,,,Strongly agree,Definitely yes,Strongly agree,"$10,000 - $19,999"
2021-04-08 15:07:49,Student,Democrat,Bachelor's degree,Asian,United States of America,Cisgender Man,2000,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-08 17:03:36,,,,,,,,,,,,,,,,
2021-04-08 17:36:35,Student,Prefer not to say,Some college,Asian,United States of America,Cisgender Woman,2000,Neither agree nor disagree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-08 18:30:05,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,1999,Neither agree nor disagree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-08 19:39:10,Employed part time,Independent,Some college,Non-Hispanic White,United States of America,Cisgender Woman,2000,Neither agree nor disagree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"$10,000 - $19,999"
2021-04-08 20:28:24,Employed part time,Democrat,Some college,Other:,Canada,Cisgender Man,2001,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-08 20:38:35,Employed full time,Democrat,Some college,Prefer not to answer,United States of America,Cisgender Man,1993,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Neither agree nor disagree,Definitely yes,Neither agree nor disagree,"$30,000 - $39,999"
2021-04-08 22:19:46,Employed part time,Democrat,Some college,Hispanic or Latino,United States of America,Cisgender Woman,2001,Somewhat disagree,Yes,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"$10,000 - $19,999"
2021-04-08 22:31:26,Employed part time,Democrat,No college,Asian,United States of America,Cisgender Man,2001,Strongly agree,No,Yes,,,Strongly agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-08 22:37:34,Student,Independent,Bachelor's degree,Asian,United States of America,Cisgender Woman,1997,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Neither agree nor disagree,Probably yes,Somewhat agree,
2021-04-09 03:38:06,Student,Republican,Some college,Asian,United States of America,Cisgender Woman,1997,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Probably yes,Somewhat agree,
2021-04-09 03:50:15,Student,Republican,Bachelor's degree,Asian,United States of America,Cisgender Man,1999,Strongly agree,No,No,,,Somewhat agree,Definitely yes,Somewhat agree,
2021-04-09 03:57:17,Employed part time,Prefer not to say,No college,Asian,China,Cisgender Woman,2001,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-09 04:07:00,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2001,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-09 12:05:42,Student,Prefer not to say,Bachelor's degree,Asian,United States of America,Cisgender Woman,1996,Somewhat agree,No,No,,,Strongly agree,Definitely yes,Somewhat agree,
2021-04-09 16:30:29,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2000,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-09 18:52:03,Employed part time,Democrat,"Advanced degree (Master's, Doctorate)",Hispanic or Latino,United States of America,Cisgender Woman,2000,Neither agree nor disagree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Probably yes,Somewhat agree,"$20,000 - $29,999"
2021-04-09 23:39:31,Student,Prefer not to say,No college,Asian,United States of America,Cisgender Woman,1998,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-10 00:05:12,Student,Socialist,Some college,Hispanic or Latino,United States of America,Cisgender Woman,2000,Somewhat agree,Yes,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-10 13:53:05,Unemployed looking for work,Democrat,Some college,Asian,United States of America,Cisgender Woman,2000,Neither agree nor disagree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-10 15:52:01,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2000,Somewhat agree,No,No,,,Somewhat agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-10 19:19:14,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2000,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-11 14:24:43,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2001,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-11 15:44:32,Student,Democrat,Some college,Hispanic or Latino,United States of America,Cisgender Woman,2002,Strongly agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-11 19:48:10,Student,Independent,Bachelor's degree,Asian,United States of America,Cisgender Man,1997,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"$10,000 - $19,999"
2021-04-11 21:32:57,Student,Democrat,No college,Asian,United States of America,Cisgender Man,2002,Strongly disagree,No,No,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-11 23:18:12,Student,Prefer not to say,Bachelor's degree,Asian,,Cisgender Woman,1999,Neither agree nor disagree,No,No,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Definitely yes,Neither agree nor disagree,"Less than $10,000"
2021-04-12 14:20:34,Employed part time,Democrat,Bachelor's degree,Non-Hispanic White,United States of America,Cisgender Woman,1998,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-12 19:12:38,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2000,Somewhat disagree,No,No,,,Somewhat agree,Definitely yes,Somewhat agree,"$10,000 - $19,999"
2021-04-13 11:45:47,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2000,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Definitely yes,Somewhat agree,
2021-04-13 14:05:18,Student,Independent,Bachelor's degree,Asian,United States of America,Cisgender Woman,2000,Somewhat agree,No,No,,,Strongly agree,Probably yes,Somewhat agree,"Less than $10,000"
2021-04-13 14:29:51,Employed part time,Democrat,Some college,Hispanic or Latino,United States of America,Cisgender Woman,1998,Neither agree nor disagree,No,No,,,Strongly agree,Probably yes,Strongly agree,"Less than $10,000"
2021-04-13 14:59:37,Employed part time,Democrat,Bachelor's degree,Asian,United States of America,Cisgender Woman,1999,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Somewhat agree,"$10,000 - $19,999"
2021-04-13 15:50:27,Student,Socialist,Bachelor's degree,Asian,United States of America,Cisgender Woman,2001,Strongly agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-13 16:16:26,Employed full time,Independent,Bachelor's degree,Asian,United States of America,Cisgender Woman,1998,Strongly agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly disagree,"$20,000 - $29,999"
2021-04-13 16:40:32,Student,Other,Some college,Asian,United States of America,Cisgender Man,2002,Somewhat agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-13 17:16:49,Unemployed looking for work,Democrat,Bachelor's degree,Asian,United States of America,Cisgender Woman,1998,Strongly agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-13 17:17:44,Employed part time,Democrat,Some college,Non-Hispanic White,United States of America,Cisgender Woman,2001,Somewhat agree,Yes,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-13 18:44:27,Student,Independent,Some college,Other:,United States of America,Cisgender Woman,2002,Strongly agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-13 19:18:16,Student,Prefer not to say,Bachelor's degree,Asian,United States of America,Cisgender Man,2000,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-13 19:47:31,Unemployed looking for work,Democrat,Some college,Asian,United States of America,Cisgender Woman,1996,Neither agree nor disagree,Yes,No,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-13 19:59:24,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2001,Somewhat agree,Yes,No,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-13 21:26:35,,,,,,,,,,,,,,,,
2021-04-13 22:09:13,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,1999,Somewhat agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-13 22:29:11,,,,,,,,,,,,,,,,
2021-04-13 22:42:09,,,,,,,,,,,,,,,,
2021-04-13 22:58:56,Student,Democrat,Some college,Prefer not to answer,United States of America,Cisgender Woman,2001,Somewhat disagree,Yes,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-13 23:08:37,Employed full time,Republican,Some college,Asian,United States of America,Cisgender Woman,1998,Somewhat agree,No,No,,,Strongly agree,Probably yes,Strongly agree,
2021-04-13 23:20:56,Employed full time,Democrat,Some college,Other:,United States of America,Cisgender Man,"Jordan ",Strongly agree,No,Yes,,,Somewhat agree,Definitely yes,Strongly agree,"$40,000 - $49,999"
2021-04-13 23:32:45,,,,,,Cisgender Man,1998,,,,,,,,,
2021-04-14 00:16:15,Student,Independent,Bachelor's degree,Asian,United States of America,Cisgender Woman,1994,Somewhat disagree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-14 00:36:49,,,,Asian,,Non-binary,1998,,,,,,,,,
2021-04-14 00:51:41,Student,Socialist,Some college,Asian,United States of America,Cisgender Man,2001,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-14 01:16:39,Student,Democrat,Some college,Hispanic or Latino,United States of America,Cisgender Man,2001,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-14 01:25:58,Employed part time,Democrat,No college,Asian,United States of America,Cisgender Woman,2001,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly disagree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-14 02:12:00,Student,Other,Some college,Asian,United States of America,Cisgender Woman,1999,Strongly agree,No,Yes,,,Strongly agree,Definitely yes,Somewhat agree,"$10,000 - $19,999"
2021-04-14 09:18:25,,,,,,,,,,,,,,,,
2021-04-14 10:20:18,Student,Republican,Some college,Asian,United States of America,Cisgender Man,2001,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Definitely yes,Strongly agree,
2021-04-14 11:11:10,Student,Democrat,No college,Non-Hispanic White,Afghanistan,Cisgender Man,test,Neither agree nor disagree,Yes,Yes,,,Neither agree nor disagree,Probably yes,Strongly agree,
2021-04-14 11:49:53,Employed part time,Socialist,Bachelor's degree,Hispanic or Latino,United States of America,Cisgender Woman,1995,Strongly agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"$10,000 - $19,999"
2021-04-14 12:10:41,Unemployed looking for work,Prefer not to say,Some college,Asian,United States of America,Cisgender Man,1997,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-14 13:47:12,Student,Socialist,Some college,Asian,United States of America,Non-binary,1998,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-14 13:56:38,Student,Democrat,Some college,Asian,United States of America,Cisgender Man,1999,Somewhat disagree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-14 14:06:01,Student,Democrat,Some college,Non-Hispanic White,United States of America,Cisgender Woman,1999,Strongly agree,No,Yes,,,Somewhat agree,Definitely yes,Somewhat agree,
2021-04-14 14:09:31,Employed part time,Democrat,Some college,Asian,United States of America,Cisgender Woman,1995,Somewhat agree,No,No,,,Strongly agree,Definitely yes,Somewhat disagree,"Less than $10,000"
