RecordedDate,Q2.12,Q2.15,Q2.14,Q2.4,Q2.6,Q2.2,Q2.1,Q35.1,Q35.2,Q35.4,Q37.4,Q37.3,Q38.3,Q38.6,Q38.10,Q2.13
2021-04-07 20:16:46,Employed part time,Socialist,Some college,Non-Hispanic White,United States of America,Cisgender Man,2000,Strongly agree,Yes,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 20:17:02,Employed part time,Independent,"Advanced degree (Master's, Doctorate)",Other:,United States of America,Cisgender Man,1995,Somewhat disagree,No,No,,,Somewhat agree,Probably yes,Somewhat disagree,"$30,000 - $39,999"
2021-04-07 20:17:26,Student,Democrat,Bachelor's degree,Non-Hispanic White,United States of America,Cisgender Woman,1998,Somewhat agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 20:20:21,Employed full time,Democrat,Bachelor's degree,Asian,United States of America,Cisgender Woman,1994,Neither agree nor disagree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"$100,000 - $149,999"
2021-04-07 20:23:08,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,1999,Somewhat disagree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 20:26:29,Student,Socialist,Some college,Non-Hispanic White,United States of America,Cisgender Man,1999,Somewhat agree,No,Yes,,,Somewhat agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-07 20:27:00,Student,Socialist,"Advanced degree (Master's, Doctorate)",Non-Hispanic White,Portugal,Cisgender Woman,1993,Strongly disagree,No,Yes,,,Somewhat agree,Definitely yes,Neither agree nor disagree,"Less than $10,000"
2021-04-07 20:30:53,Student,Prefer not to say,No college,Asian,United States of America,Cisgender Woman,1999,Neither agree nor disagree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 20:31:39,Student,Other,Some college,Non-Hispanic White,United States of America,Non-binary,2002,Somewhat disagree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Probably yes,Somewhat agree,"Less than $10,000"
2021-04-07 20:32:14,Student,Democrat,Bachelor's degree,Asian,United States of America,Cisgender Woman,1999,Somewhat agree,No,Yes,,,Strongly agree,Probably yes,Strongly agree,"Less than $10,000"
2021-04-07 20:33:11,Student,Democrat,Some college,Hispanic or Latino,United States of America,Cisgender Woman,1994,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
